Adrian Mocanu,Grupul parlamentar al Partidului Social Democrat
Adrian Solomon,Grupul parlamentar al Partidului Social Democrat
Adriana-Doina Pană,Grupul parlamentar al Partidului Social Democrat
Adrian Constantin Simionescu,Grupul parlamentar al Partidului Social Democrat
Adrian-Miroslav Merka,Grupul parlamentar al minorităților naționale
Alexandru Stănescu,Grupul parlamentar al Partidului Social Democrat
Alina-Ștefania Gorghiu,Grupul parlamentar al Partidului Național Liberal
Ana Birchall,Grupul parlamentar al Partidului Social Democrat
András-Levente Máté,Grupul parlamentar al Uniunii Democrate Maghiare din România
Andrei Dolineaschi,Grupul parlamentar al Partidului Social Democrat
Andrei-Valentin Sava,Grupul parlamentar al Partidului Social Democrat
Angel Tîlvăr,Grupul parlamentar al Partidului Social Democrat
Anghel Stanciu,Grupul parlamentar al Partidului Social Democrat
Anton Doboș,Grupul parlamentar al Partidului Național Liberal
Árpád-Francisc Márton,Grupul parlamentar al Uniunii Democrate Maghiare din România
Atilla-Béla-László Kelemen,Grupul parlamentar al Uniunii Democrate Maghiare din România
Attila Korodi,Grupul parlamentar al Uniunii Democrate Maghiare din România
Attila-Zoltán Cseke,Grupul parlamentar al Uniunii Democrate Maghiare din România
Aurel Vainer,Grupul parlamentar al minorităților naționale
Aurelia Cristea,Grupul parlamentar al Partidului Social Democrat
Aurelian Ionescu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Bogdan Nicolae Niculescu Duvăz,Grupul parlamentar al Partidului Social Democrat
Călin-Vasile-Andrei Matei,Grupul parlamentar al Partidului Social Democrat
Camelia Khraibani,Grupul parlamentar al Partidului Social Democrat
Carmen Ileana Moldovan,Grupul parlamentar al Partidului Social Democrat
Cătălin Tiuch,Grupul parlamentar al Partidului Social Democrat
Cătălin-Daniel Fenechiu,Grupul parlamentar național democrat
Cătălin-Marian Rădulescu,Grupul parlamentar al Partidului Social Democrat
Claudiu-Andrei Tănăsescu,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Constantin Adăscăliței,Grupul parlamentar al Partidului Social Democrat
Constantin Avram,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Constantin Mazilu,Grupul parlamentar al Partidului Social Democrat
Constantin Niță,Grupul parlamentar al Partidului Social Democrat
Constantin Rădulescu,Grupul parlamentar al Partidului Social Democrat
Constantin-Stelian-Emil Moț,Grupul parlamentar al Partidului Social Democrat
Cornel Itu,Grupul parlamentar al Partidului Social Democrat
Cornel-Cristian Resmeriță,Grupul parlamentar al Partidului Social Democrat
Cornelia Negruț,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Corneliu-Florin Buicu,Grupul parlamentar al Partidului Social Democrat
Corneliu-Mugurel Cozmanciuc,Grupul parlamentar al Partidului Național Liberal
Cosmin Necula,Grupul parlamentar al Partidului Social Democrat
Costel Alexe,Grupul parlamentar al Partidului Național Liberal
Costel Șoptică,Grupul parlamentar al Partidului Național Liberal
Cristian Buican,Grupul parlamentar al Partidului Național Liberal
Cristian Rizea,Grupul parlamentar al Partidului Social Democrat
Cristina Nichita,Grupul parlamentar al Partidului Social Democrat
Cristina-Ancuța Pocora,Grupul parlamentar al Partidului Național Liberal
Damian Florea,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Dan Ciocan,Grupul parlamentar al Partidului Social Democrat
Dan Coriolan Simedru,Grupul parlamentar al Partidului Național Liberal
Daniel Constantin,Grupul parlamentar ALDE (Alianța liberalilor și democraților)
Daniel Florea,Grupul parlamentar al Partidului Social Democrat
Daniel Iane,Grupul parlamentar al Partidului Național Liberal
Daniel Tudorache,Grupul parlamentar al Partidului Social Democrat
Daniel-Cătălin Zamfir,Grupul parlamentar al Partidului Național Liberal
Daniel-Ionuț Bărbulescu,Grupul parlamentar al Partidului Social Democrat
Daniel-Stamate Budurescu,Grupul parlamentar al Partidului Național Liberal
Daniel Vasile Oajdea,Grupul parlamentar național democrat
Dan-Ștefan Motreanu,Grupul parlamentar al Partidului Național Liberal
Dénes Seres,Grupul parlamentar al Uniunii Democrate Maghiare din România
Dorel Covaci,Grupul parlamentar al Partidului Social Democrat
Dorel-Gheorghe Căprar,Grupul parlamentar al Partidului Social Democrat
Dorin Silviu Petrea,Grupul parlamentar al Partidului Social Democrat
Dragoș Gabriel Zisopol,Grupul parlamentar al minorităților naționale
Dumitru Pardău,Grupul parlamentar al Partidului Național Liberal
Dumitru-Iulian Popescu,Grupul parlamentar al Partidului Social Democrat
Dumitru-Verginel Gireadă,Grupul parlamentar al Partidului Național Liberal
Eduard-Stelian Martin,Grupul parlamentar al Partidului Social Democrat
Elena Cătălina Ștefănescu,Grupul parlamentar al Partidului Social Democrat
Elena-Ramona Uioreanu,Grupul parlamentar al Partidului Național Liberal
Eleonora-Carmen Hărău,Grupul parlamentar al Partidului Național Liberal
Emil Niță,Grupul parlamentar al Partidului Social Democrat
Erland Cocei,Grupul parlamentar al Partidului Național Liberal
Eugen Bejinariu,Grupul parlamentar al Partidului Social Democrat
Eugen Nicolicea,Grupul parlamentar al Partidului Social Democrat
Eugen Constantin Uricec,Grupul parlamentar al Partidului Social Democrat
Flavius-Luigi Măduța,Grupul parlamentar al Partidului Social Democrat
Florica Cherecheș,Grupul parlamentar al Partidului Național Liberal
Florin Ciurariu,Grupul parlamentar al Partidului Național Liberal
Florin Iordache,Grupul parlamentar al Partidului Social Democrat
